,IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE
0,ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.174319999999994,-149.99618999999998
1,ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.640440000000005,-84.42694
2,BDL,Bradley International Airport,Windsor Locks,CT,USA,41.93887,-72.68323000000001
3,BNA,Nashville International Airport,Nashville,TN,USA,36.12448,-86.67818
4,BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518000000001
5,DAL,Dallas Love Field,Dallas,TX,USA,32.84711,-96.85177
6,DCA,Ronald Reagan Washington National Airport,Arlington,VA,USA,38.85208,-77.03772
7,DEN,Denver International Airport,Denver,CO,USA,39.85841,-104.667
8,DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
9,EWR,Newark Liberty International Airport,Newark,NJ,USA,40.6925,-74.16866
10,FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,USA,26.07258,-80.15275
11,HNL,Honolulu International Airport,Honolulu,HI,USA,21.31869,-157.92241
12,HOU,William P. Hobby Airport,Houston,TX,USA,29.64542,-95.27889
13,HRL,Valley International Airport,Harlingen,TX,USA,26.228509999999996,-97.65439
14,IAD,Washington Dulles International Airport,Chantilly,VA,USA,38.94453,-77.45581
15,IAH,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972
16,JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893
17,JNU,Juneau International Airport,Juneau,AK,USA,58.35496,-134.57628
18,KOA,Kona International Airport at Keahole,Kailua/Kona,HI,USA,19.738770000000002,-156.04563000000002
19,KTN,Ketchikan International Airport,Ketchikan,AK,USA,55.35556999999999,-131.71374
20,LAS,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233
21,LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
22,LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261
23,MCO,Orlando International Airport,Orlando,FL,USA,28.428890000000003,-81.31603
24,MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242
25,MIA,Miami International Airport,Miami,FL,USA,25.79325,-80.29056
26,MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692
27,OAK,Oakland International Airport,Oakland,CA,USA,37.72129,-122.22072
28,OGG,Kahului Airport,Kahului,HI,USA,20.89865,-156.43046
29,ORD,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446
30,PBI,Palm Beach International Airport,West Palm Beach,FL,USA,26.683159999999997,-80.09559
31,PDX,Portland International Airport,Portland,OR,USA,45.58872,-122.5975
32,PHL,Philadelphia International Airport,Philadelphia,PA,USA,39.87195,-75.24114
33,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806000000001
34,SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,USA,32.73356,-117.18966
35,SAV,Savannah/Hilton Head International Airport,Savannah,GA,USA,32.12758,-81.20214
36,SCC,Deadhorse Airport (Prudhoe Bay Airport),Deadhorse,AK,USA,70.19476,-148.46516
37,SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931000000001
38,SFO,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37483999999999
39,SJC,Norman Y. Mineta San José International Airport,San Jose,CA,USA,37.36186,-121.92901
40,SJU,Luis Muñoz Marín International Airport,San Juan,PR,USA,18.439420000000002,-66.00183
41,SLC,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97776999999999
42,SMF,Sacramento International Airport,Sacramento,CA,USA,38.69542,-121.59076999999999
43,STL,St. Louis International Airport at Lambert Field,St Louis,MO,USA,38.747690000000006,-90.35999
44,WRG,Wrangell Airport,Wrangell,AK,USA,56.48433000000001,-132.36982
