,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DISTANCE,FLIGHT_NUMBER
0,ANC,SEA,8401.24182730168,1
1,SLC,ATL,12728.601853041573,2
2,LAS,HNL,14183.996452745845,3
3,IAH,MIA,14882.696249862543,4
4,DFW,MCO,10417.22555564295,5
5,SEA,ANC,8401.24182730168,6
6,BOS,IAD,18243.3439097919,7
7,LAX,JFK,4568.9508243422,8
8,BDL,DCA,15406.40871577879,9
9,FLL,BOS,15710.580460686082,10
10,JFK,LAX,4568.9508243422,11
11,SFO,JFK,9498.077337673936,12
12,JFK,SFO,9498.077337673936,13
14,ATL,MIA,4619.410561203787,14
15,SFO,MIA,11966.503271628284,15
16,EWR,SEA,13648.077534085452,16
17,MSP,SEA,9026.980425476417,17
20,SAN,DFW,1561.0750295673754,18
21,PDX,ORD,17493.657617332417,19
22,MCO,BOS,9216.365198267522,20
23,ANC,SCC,16868.975020985312,21
24,JFK,SJU,10961.284194777852,22
25,MIA,DFW,6109.095174978183,23
26,PBI,BOS,19596.064755009265,24
27,LGA,DAL,9120.432725096685,25
29,SEA,JNU,10644.636636124398,26
30,JNU,KTN,16150.495435480612,27
31,HNL,SFO,7540.445040003704,28
32,SJC,ORD,5578.518381777754,29
33,SFO,LAX,6628.207152853622,30
34,JFK,BOS,11571.556878280477,31
35,MCO,DFW,10417.22555564295,32
36,SEA,KTN,5532.416432188498,33
37,JNU,ANC,19038.16576168523,34
38,BOS,MCO,9216.365198267522,35
39,LAX,DAL,5293.583021367898,36
40,STL,MDW,12994.051433838378,37
41,PDX,BOS,19603.315216717787,38
42,SJC,OGG,9116.192728765862,39
43,DFW,SFO,9954.788720491684,40
44,SAN,JFK,10094.652196392575,41
45,SFO,DCA,9924.413446822622,42
47,DCA,SEA,12624.509257140206,43
48,SEA,EWR,13648.077534085452,44
49,ORD,SEA,10661.823926425564,45
50,ANC,JNU,19038.16576168523,46
52,HNL,LAX,8696.516231712554,47
53,PHX,HNL,7093.2663173731235,48
54,LAX,HNL,8696.516231712554,49
55,SEA,MCO,16817.60865222961,50
56,LAS,JFK,11554.227370313247,51
57,ATL,IAH,15710.187980471936,52
58,SLC,DFW,9261.870914614812,53
59,SEA,DCA,12624.509257140206,54
60,FLL,JFK,12734.469450136234,55
61,DFW,STL,2801.937469725932,56
62,OAK,OGG,7019.60436918357,57
63,DAL,HOU,18470.33382668109,58
64,SEA,ORD,10661.823926425564,59
65,EWR,MCO,5815.465135229276,60
66,DEN,DAL,3875.9535987830427,61
68,SEA,PHL,15910.460981773858,62
69,DCA,LAX,3957.2705623658417,63
70,LAX,KOA,10428.922237019804,64
71,SEA,FLL,10757.53060651887,65
73,DCA,DFW,2479.959745590757,66
74,SFO,HNL,7540.445040003704,67
75,SEA,HNL,13831.208174411391,68
80,BOS,LAX,14218.419186068033,69
81,SAN,ORD,16177.324929619566,70
83,MCO,EWR,5815.465135229276,71
84,EWR,HNL,11819.353884020098,72
85,LAS,ORD,2921.748274840741,73
86,KTN,SEA,5532.416432188498,74
89,LAX,ATL,9745.976596518609,75
91,SFO,IAD,9289.355782753906,76
92,SEA,BOS,7788.249328989235,77
93,SMF,HNL,7127.887396238427,78
94,BOS,SAV,14327.930542473096,79
95,KTN,WRG,7722.518227229259,80
96,HRL,HOU,15986.864225173997,81
97,MDW,BNA,3974.8495142535603,82
99,OAK,HNL,7817.070447379257,83
